Judul,Tanggal,Penulis,Isi,Link Lengkap
"Intimidasi, Penipuan: Modus Agen Penyalur Terbesar Memeras ABK",,"['Reja Hidayat', 'Https', 'Www.Facebook.Com Tirtoid']","Eksploitasi ABK di Kapal Cina. Tirto.id/Hafitz Maulana

Baca juga: Perbudakan dan Eksploitasi ABK Indonesia di Kapal Cina Han Rong 363

Tak Ada Kesejahteraan Bagi ABK

Data sejumlah ABK yang meninggal di atas kapal asing yang tercatat di sekretariat SBMI Tegal, Jawa Tengah. tirto.id/Hafitz Maulana

Herman Suprayogi, Direktur PT Puncak Jaya Samudra satu dari beberapa bisnis rekrutmen ABK yang dimiliki oleh Sukim. Tirto.id/Hafitz Maulana

Infografik PJS Berkembang Dengan Memeras Tenaga ABK. (tirto.id/Lugas)

Bisnis Kematian di Laut Lepas





Daroni diberangkatkan oleh PT PJS, sementara Riswan lewat PT Mega Pratama Samudra - dua perusahaan yang terafiliasi dengan Sukim.



""Tidak ada kabar atau informasi apa pun dari pihak PT tentang kondisi Daroni di atas kapal. Tahu-tahu dapat kabar bahwa anak saya sudah meninggal pada 19 Mei lalu,"" kata ibu Daroni, dikutip



Dua ABK Indonesia, Daroni dan Riswan asal Jawa Tengah, meninggal di atas kapal berbendera Cina, Han Rong 363 dan Han Rong 368, dan jenazahnya dilarung di laut tanpa sepengetahuan keluarga.Daroni diberangkatkan oleh PT PJS, sementara Riswan lewat PT Mega Pratama Samudra - dua perusahaan yang terafiliasi dengan Sukim.""Tidak ada kabar atau informasi apa pun dari pihak PT tentang kondisi Daroni di atas kapal. Tahu-tahu dapat kabar bahwa anak saya sudah meninggal pada 19 Mei lalu,"" kata ibu Daroni, dikutip ABC News

oni menggambarkan kepada Tirto bahwa perlakuan terhadap ABK Indonesia di kapal Cina itu bak “anjing peliharaan sang kapten kapal.”



“Kalau anjing makan kacang, ABK dikasih makan kacang. Kalau anjing makan kepiting rebus, ABK dikasih makan kepiting rebus, yang enggak ada rasanya. Kalau anjing makan bakpau, kami makan bakpau. Anjing itu kita sebut monsternya kapten.”

Daroni adalah teman Joni sejak mereka mendaftar di PT PJS. Ia bercerita sempat mengajak Daroni untuk mengikutinya pulang ke Indonesia pada 26 Februari 2020. Tapi, Daroni menolak karena takut ancaman utang dokumen dan harus ganti tiket pesawat jika tak menyelesaikan kontrak paksa tersebut.



“Sebenarnya, ABK Indonesia lain pengin pulang, tapi enggak berani karena utang perusahaan,” kata Joni. “Ini benar-benar menyiksa orang Indonesia di kapal. Lebih baik mereka dipulangkan.”





“Katanya sakit maag, tapi saya enggak percaya. Pasti sebabnya kecapekan, makan enggak benar, minum enggak benar,” kata Joni Ramdani kepada Tirto.





Baca juga: Yang Tidak Terungkap dalam Perbudakan ABK Indonesia di Kapal Cina

Tak Memenuhi Hak, Mengintimidasi ABK Pula

Julkifli Soumena, ABK asal Ambon yang tinggal sementara di sekretariat SBMI Tegal, Jawa Tengah akibat haknya sebagai ABK belum dilunasi PT Bahari Kru Manajemen. Ricky Yudhistira/ProjectMultatuli.org

Cara PT PJS Melebarkan Sayapnya

Balai pelatihan dan karantina ABK milik PT Puncak Jaya Samudra, Pemalang, Jawa Tengah. Tirto.id/Hafitz Maulana

Laporan Tak Digubris Polisi

SBMI Tegal mengadvokasi sejumlah laporan pengaduan kasus-kasus ABK yang haknya belum terpenuhi. Pasport dan Buku Pelaut dititipkan ke pihak SBMI Tegal untuk menelusuri beragam jejak kasus yang menimpa ABK. Tirto.id/Hafitz Maulana",https://tirto.id/intimidasi-penipuan-modus-agen-penyalur-terbesar-memeras-abk-gmgQ
Ke Mana Bapak?: Hari-hari Muram Keluarga Korban Penghilangan Paksa,,"['Haris Prabowo', 'Https', 'Www.Facebook.Com Tirtoid']","Zulfkili, warga Gampong Rembele, Kecamatan Bukit, Kabupaten Aceh Tengah, yang jadi korban penghilangan paksa pasca DOM Aceh, tepatnya tanggal 20 Februari 2000. (FOTO/Dokumentasi Keluarga)

Ke Tangsi-Tangsi Militer: Mencari Zulkifli

Stigma Sepanjang Hayat

Infografik Indepth Subur Praktik Penghilangan Paksa di Aceh. (tirto.id/Lugas)

Sudah Hilang, Masih Dikorupsi

Ramli Rasyid, warga Gampong Pondok Gajah, Kecamatan Bandar, Kabupaten Aceh Tengah, yang jadi korban penghilangan paksa pasca DOM Aceh, tepatnya tanggal 26 Februari 2000. (FOTO/Dokumentasi Keluarga)

Menanti Janji Palsu Negara",https://tirto.id/ke-mana-bapak-hari-hari-muram-keluarga-korban-penghilangan-paksa-gmal
"""Ada Banyak Politikus Takut Ratifikasi Anti Penghilangan Paksa""",,"['Adi Renaldi', 'Https', 'Www.Facebook.Com Tirtoid']","Pemerintah masih enggan meratifikasi konvensi anti penghilangan paksa, sebabnya ada ketakutan dari parpol soal pelanggaran HAM di masa lalu.",https://tirto.id/ada-banyak-politikus-takut-ratifikasi-anti-penghilangan-paksa-gmbf
"""Kalau Mau Jadi Capres, Sebaiknya Jangan Ikut PBNU""",,"['Riyan Setiawan', 'Https', 'Www.Facebook.Com Tirtoid']","Kami berbincang dengan Yahya Cholil Staquf tentang banyak hal, dari mulai Gus Dur hingga PBNU, tempat dan mengabdi dan mungkin menjadi pemimpinnya.",https://tirto.id/kalau-mau-jadi-capres-sebaiknya-jangan-ikut-pbnu-glG1
"CCIC Polri: ""Kami Orangnya Sedikit, Pelakunya Terlalu Banyak""",,"['Reja Hidayat', 'Https', 'Www.Facebook.Com Tirtoid']","Kepala Analis CCIC Bareskrim Polri, Muhammad Yunnus Saputra bilang angka kasus penipuan online terus naik sementara jumlah personel tak mencukupi.",https://tirto.id/ccic-polri-kami-orangnya-sedikit-pelakunya-terlalu-banyak-gk6p
"""Feeling Saya Akan Ada 3 Calon di Pilpres 2024""",,"['Alfian Putra Abdi', 'Https', 'Www.Facebook.Com Tirtoid']","Dr. H. Habib Salim Segaf Al-Jufri, seorang ulama dan politikus Indonesia yang saat ini sebagai Ketua Majelis Syuro Partai Keadilan Sejahtera. tirto.id/Hafitz Maulana

Dr. H. Habib Salim Segaf Al-Jufri, seorang ulama dan politikus Indonesia yang saat ini sebagai Ketua Majelis Syuro Partai Keadilan Sejahtera. tirto.id/Hafitz Maulana

Dr. H. Habib Salim Segaf Al-Jufri, seorang ulama dan politikus Indonesia yang saat ini sebagai Ketua Majelis Syuro Partai Keadilan Sejahtera. tirto.id/Hafitz Maulana",https://tirto.id/feeling-saya-akan-ada-3-calon-di-pilpres-2024-gkCX
4 Langkah Grab Pastikan Keamanan Penumpang dan Mitra Pengemudi,,"['Https', 'Www.Facebook.Com Tirtoid']",Grab mengimplementasikan kebijakan “zero tolerance” atas semua bentuk kekerasan dan pelecehan seksual terhadap penumpang dan mitra pengemudi.,https://tirto.id/4-langkah-grab-pastikan-keamanan-penumpang-dan-mitra-pengemudi-gnEo?utm_source=Tirtoid&utm_medium=Popular
Gonta-ganti Seragam Satpam: Bikin Pusing Warga & Polri Tak Cermat,,"['Andrian Pratama Taher', 'Https', 'Www.Facebook.Com Tirtoid']",Bambang menilai masalah warna seragam satpam hanya satu dari beragam persoalan posisi satpam sebagai objek di bawah Polri.,https://tirto.id/gonta-ganti-seragam-satpam-bikin-pusing-warga-polri-tak-cermat-gnEh?utm_source=Tirtoid&utm_medium=Popular
Wardiman Wirjosapoetro Pilih Bela RI daripada Kembali ke KNIL,,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']","Wardiman

tidak mengada-ada. Saat dia

lahir pada 22 Juni 1934,

memang

ada

seorang

pensiunan kapten Koninklijk Nederlandsche Indische Leger (KNIL).

Nama lengkapnya

Wardiman Wirjosap

oe

tro.

Kapten Wardiman pensiun dari kemiliteran sejak

pertengahan 1924. Koran

(2/7/1924) memberitakan: Kapten Raden Wardiman telah berhenti dengan hormat atas permintaan

sendiri

dan pensiun setelah mengabdi beberapa waktu lamanya.

Kapten Wardiman terhitung pensiun muda. Dia l

ahir

pada

29 Oktober 1890

sehingga umurnya masih

34 tahun

kala pensiun

. Dia

juga

baru menikmati pangkat kaptennya selama tiga tahun.

Benjamian Bouman dalam

(1995,

hlm.

370) menyebut Wardiman naik pangkat menjadi kapten pada 7 Mei 1921.

Sebelumnya, dari 1914 hingga 1921, dia menjadi

menjadi letnan kelas satu infanteri.

Di era kolonial, m

asa kepangkatan letnan kelas satu di KNIL

memang

biasanya bisa lebih dari 7 tahun.

Itu berbeda dari TNI yang rata-rata hanya 4 tahun.

Wardiman dan Mardjana mulai dilatih di Sekolah Militer itu sejak 1907.

Kala itu, kursus baru saja dibuka sehingga mereka adalah angkatan pertamanya.

Het

N

ieuws van den

D

ag voor

Nederlandsch-Indië

sebagai perwira bumiputra pertama. Mereka lulus pada 1910 dan

kemudian dilantik sebagai

letnan kelas dua infanteri.

Memilih Pensiun Dini

(14/4/1916) menyebut pada 9 April 1916 Letnan Satu Raden Wardiman dan Letnan Satu Poll te

ngah

memperkuat pasukannya untuk melawan orang-orang Pasir. Pasukan itu bergerak ke hulu Kasungai untuk menghadapi sekitar 30 orang Pasir.

(6/7/1916) memberitakan pada Mei 1916, Letnan Wardiman dan pasukannya

berhasil

menangkap

dua tokoh penting dari kalangan pemberontak, yaitu

Pangeran Singa

Maulana

dan seorang bawahannya

yang bernama

Semarangkitin Tabalong.

Pada akhir 1918 itu, seperti diberitakan

(5/12/1918), keduanya menikah. Belasan tahun setelah pernikahan itu, seperti diberitakan

(8/3/1935), Raden Wardiman dan keluarganya

mendapat persamaan

status

sebagaimana

orang Eropa. Nama belakang keluarga itu adalah Wirjosapoetro.

Meski begitu,

Wardiman disebut tidak punya pekerjaan

kala itu

.

Mengapa Kapten Wardiman memilih pensiun dini? Agaknya dia berpikir realistis saja atas karier militernya. Daripada jungkir balik mengejar pangkat tinggi yang eksklusif untuk orang Eropa, Wardiman lebih memilih hidup tenang dengan uang pensiun.

Kapten Wardiman pun sebenarnya tidak rugi apa-apa. Di era 1920-an, pangkat

kapten KNIL

saja sudah merupakan pencapaian yang mentereng bagi priyayi Jawa.

Rekan seangkatan Wardiman, Mardjana, pun sama

belaka

. Di era 1930-an,

bahkan

ada

empat

mayor

bumiputra

yang satu almamater dengan Wardiman,

yaitu





Kawilarang, Walangitang, Soegondo, dan juga Oerip Soemohardjo. Infografik Kapten Wardiman. tirto.id/Teguh

Setelah Indonesia Merdeka

Pada 1945, setelah Jepang kalah dan Republik Indonesia lahir, Wardiman

kedatangan seorang tamu yang

usianya lebih muda darinya.

Si tamu adalah

bekas letnan kelas satu

KNIL

Didi Kartasasmita.

Didi mengabarkan bahwa

N

ederlands

I

ndie

C

ivil

A

dministration

Belanda sedang mengumpulkan kembali para mantan KNIL.

Wardiman lantas bergabung dengan militer Indonesia yang baru terbentuk. Dengan pangkat k

olonel, Wardiman menjadi

w

akil

d

irektur Akademi Militer Yogyakarta. Selain itu,

dua anak lelaki

Wardiman

juga turut bergabung dengan

Angkatan Udara Republik Indonesia (AURI).

Setelah Belanda mengakui kedaulatan RI

pada akhir 1949

, kedua anak Wardiman terus berdinas di AURI.

Seorang

di penerbangan dan

seorang lagi

di logistis AURI.

Keduanya lalu

pensiun dengan pangkat marsekal madya.

Salah

satu

anak Wardiman, seperti disebut Boediardjo dalam

(1996,

hlm.

138),",https://tirto.id/wardiman-wirjosapoetro-pilih-bela-ri-daripada-kembali-ke-knil-gnvC?utm_source=Tirtoid&utm_medium=Popular
Keluarga Pebisnis & Konglomerat di Balik Bisnis Gibran dan Kaesang,,"['Fahri Salam', 'Https', 'Www.Facebook.Com Tirtoid']",Kedua putra Presiden Jokowi memiliki 24 perusahaan. Ada nama keluarga Gandi Sulistiyanto dan TP Rachmat yang menyokong dan terafiliasi dengan bisnis mereka.,https://tirto.id/keluarga-pebisnis-konglomerat-di-balik-bisnis-gibran-dan-kaesang-f7PX?utm_source=Tirtoid&utm_medium=Popular
Di antara Sumber Rezeki dan Tradisi,,"['Https', 'Www.Facebook.Com Tirtoid']",,https://tirto.id/kisah/di-antara-sumber-rezeki-dan-tradisi-R
Nikah Beda Agama Pangkal Toleransi,,"['Https', 'Www.Facebook.Com Tirtoid']",,https://tirto.id/kisah/nikah-beda-agama-pangkal-toleransi-P
Semua Pasta Gigi adalah Odol,,"['Https', 'Www.Facebook.Com Tirtoid']",,https://tirto.id/kisah/semua-pasta-gigi-adalah-odol-N
Dampak Gempa Banten: 738 Unit Rumah di Pandeglang Rusak,,"['Https', 'Www.Facebook.Com Tirtoid']","Akibat gempa Banten magnitudo 6,6 pada Jumat 14 Januari 2022 kemarin, 738 bangunan rumah rusak tersebar di 27 kecamatan dan 113 desa di Pandeglang.",https://tirto.id/dampak-gempa-banten-738-unit-rumah-di-pandeglang-rusak-gnHH
"Dipindah 1-7 Februari 2022, PKL Malioboro Khawatir Lokasi Baru Sepi",,"['Https', 'Www.Facebook.Com Tirtoid']",Pedagang kaki lima (PKL) kawasan wisata Malioboro menyebut bahwa proses relokasi ke dua lokasi baru akan dilakukan pada awal Februari 2022.,https://tirto.id/dipindah-1-7-februari-2022-pkl-malioboro-khawatir-lokasi-baru-sepi-gnG2
BPOM Terbitkan Izin EUA Obat Antivirus COVID-19 Molnupiravir,,"['Https', 'Www.Facebook.Com Tirtoid']","Zakiah Daradjat, Pelopor Pendidikan Agama di Sekolah Umum",https://tirto.id/bpom-terbitkan-izin-eua-obat-antivirus-covid-19-molnupiravir-gnGZ
